"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","50707","Evansdale","IA","Waterloo, IA","""Waterloo-Cedar Falls, IA""",,5.09049613173398,,,,92100,0.217627856365615,2.33333333333333,0.0386427795874049,,0.125902165196472,0.0382165605095541,83.5
"Zip","51004","Anthon","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,0.836823053445951,,,,88600,0.226244343891403,-3.06345733041575,,,0.159090909090909,0.0714285714285714,63
"Zip","51016","Correctionville","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,2.10589821846831,0,,,88200,-0.451467268623025,1.37931034482759,,,0.114285714285714,0,63
"Zip","51030","Lawton","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,9.83107388742991,,,,204200,0.591133004926108,10.0808625336927,,,0.0700389105058366,0,63
"Zip","51039","Moville","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,1.98523670948967,,,,141800,-0.140845070422535,-5.27722110888444,,,0.0836501901140684,0.0454545454545455,63
"Zip","51052","Salix","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,8.14962027113351,100,,,155200,-0.25706940874036,-0.128700128700129,,,0.00869565217391304,0,63
"Zip","51054","Sergeant Bluff","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,5.85492227979275,100,,,224200,0.223513634331694,0.223513634331694,,,0.079885877318117,0.0357142857142857,63
"Zip","51055","Sloan","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,7.07289374689474,,,,133700,-0.0747384155455904,3.32302936630603,,,0.0774193548387097,0,63
"Zip","51103","Sioux City","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,7.97927461139896,100,,,77300,0.38961038961039,4.03768506056528,,,0.0956964892412231,0.0177514792899408,63
"Zip","51105","Sioux City","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,4.00596209809071,100,,,64500,0,-2.56797583081571,,,0.164904862579281,0.0128205128205128,63
"Zip","51106","Sioux City","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,4.05422670168216,83.33,,,117200,-0.0852514919011083,-5.02431118314425,,,0.0774701549403099,0.00983606557377049,61
"Zip","51109","Sioux City","IA","Sioux City, IA","""Sioux City, IA-NE-SD""",,8.28518702533892,100,,,92800,-0.21505376344086,2.42825607064018,,,0.0536912751677852,0,63
"Zip","51331","Arnolds Park","IA","Spirit Lake, IA","""Spirit Lake, IA""",,4.88892043438143,,,,230000,-0.216919739696312,-7.77866880513232,,,0.0978260869565217,0,87.5
"Zip","51347","Lake Park","IA","Spirit Lake, IA","""Spirit Lake, IA""",,9.578394492157,100,,,138700,1.16703136396791,5.3951367781155,,,0.112068965517241,0,87.5
"Zip","51351","Milford","IA","Spirit Lake, IA","""Spirit Lake, IA""",,8.02399034707928,,,,203600,0.14756517461879,-0.537371763556424,,,0.0609756097560976,0,87.5
